Year,WA1,WA2,OR1,OR2,OR3,CA1,CA2,CA3,CA4,CA5,CA6,CA7
1980,2.685185185,-6.055555556,1.904761905,-1.746031746,-1.763888889,8.375,1.12962963,7.911111111,10.36111111,10.18253968,14.22777778,9.277777778
1981,7.222222222,2.518518519,6.041666667,1.912698413,0.766666667,9.944444444,2.009259259,8.144444444,10.7037037,9.722222222,14.13333333,9.518518519
1982,4.194444444,-2.844444444,3.444444444,-1.817460317,-3.733333333,6.388888889,-2.355555556,4.5,7.541666667,6.396825397,11.51851852,6.388888889
1983,6.981481481,1.9,6.354166667,1.784722222,0.722222222,10.33333333,0.933333333,6.481481481,9.842592593,6.880952381,13.96969697,8.492063492
1984,6.416666667,-0.622222222,5.194444444,-1.604166667,-1.9,9.574074074,-1.033333333,7.972222222,10.17460317,8.468253968,13.94949495,9.452380952
1985,4.055555556,-4.203703704,2.134920635,-4.326388889,-4.222222222,8.574074074,-1.916666667,5.462962963,7.880952381,5.865079365,11.98333333,7.222222222
1986,6.722222222,-0.644444444,6.465277778,1.256944444,2.466666667,11.61111111,3.638888889,9.787037037,11.64583333,11.24603175,15.23737374,10.58730159
1987,5.027777778,-1.944444444,4.131944444,-2.118055556,-2.708333333,9.194444444,-1.62037037,6.425925926,8.839506173,6.833333333,11.62626263,6.468253968
1988,4.583333333,-1.962962963,3.986111111,-1.783950617,-1.083333333,9.555555556,-2.25,7.722222222,9.833333333,8.182539683,12.48989899,7.174603175
1989,4.944444444,0.425925926,4.923611111,-1.715277778,-3.955555556,6.133333333,-4.518518519,5.972222222,8.284722222,6.342592593,11.78888889,6.563492063
1990,6.194444444,2.351851852,5.798611111,1.229166667,0.138888889,7.902777778,0.157407407,7.277777778,9.604938272,8.027777778,12.9691358,7.398148148
1991,4.5,-2.611111111,3.6875,-2.208333333,-1.305555556,7.311111111,-0.675925926,7.546296296,9.238095238,8.381944444,12.96969697,7.285714286
1992,6.708333333,1.398148148,6.375,1.222222222,0.455555556,8.222222222,0.731481481,6.37962963,8.691358025,5.833333333,13.38383838,6.916666667
1993,3.041666667,-5.37962963,2.104166667,-5.920634921,-5.180555556,6.444444444,-3.388888889,6.531746032,8.771604938,8.180555556,12.73737374,5.966666667
1994,7.263888889,2.574074074,6.4375,2.302469136,1.287037037,8.888888889,0.966666667,8.074074074,9.932098765,8.333333333,13.76111111,8.638888889
1995,6.791666667,-0.712962963,6.597222222,0.74691358,1.833333333,9.481481481,2.231481481,8.453703704,11.32716049,11.16666667,12.93888889,7.587301587
1996,4.288888889,-2.674603175,5.222222222,0.873015873,-0.074074074,7.861111111,1.712962963,7.805555556,10.89506173,9.173611111,13.59722222,9.333333333
1997,5.486111111,-2.145833333,4.968253968,-0.325396825,-1.344444444,7.857142857,0.73015873,7.675925926,10.28888889,9.714285714,13.13888889,8.466666667
1998,6.240740741,-0.523809524,7.080246914,1.604166667,1.574074074,8.904761905,2.518518519,7.855555556,11.05555556,9.868055556,13.17777778,8.436507937
1999,4.666666667,1.296296296,5.916666667,2.285714286,-0.433333333,7.111111111,1,6.866666667,9.035353535,6.968253968,13.33333333,8.569444444
2000,4.694444444,-1.12962963,4.8125,0.333333333,0.097222222,7.436507937,1.404761905,7.685185185,10.58333333,10.24603175,13.94444444,8.633333333
2001,5.592592593,-1.234567901,5.49382716,-0.80952381,-1.916666667,6.920634921,0.103174603,6.587301587,8.883838384,7.9375,11.54545455,6.984126984
2002,5.268518519,0.638888889,5.679012346,-0.268518519,-1.466666667,6.490740741,0.148148148,6.357142857,8.726851852,7.261904762,11.87222222,7.301587302
2003,7.25,1.694444444,8.296296296,3.69047619,2.951388889,10.39814815,4.825396825,9.907407407,12.02314815,10.03174603,15.84444444,11
2004,4.611111111,-2.277777778,5.041666667,-2.233333333,-0.753968254,7.583333333,0.990740741,6.904761905,9.691919192,8.104166667,12.40740741,7.377777778
2005,5.333333333,-1.796296296,5.798611111,0.756944444,-1.462962963,7,-0.468253968,6.811111111,9,8.211111111,13.38271605,8.685185185
2006,6.731481481,2.358024691,6.841269841,2.984126984,-0.577777778,7.592592593,1.972222222,8,10.42929293,9.12037037,13.13888889,6.977777778
2007,4.018518519,-3.0625,2.916666667,-1.157407407,-2.513888889,5.150793651,-1.03968254,6,8.444444444,6.53968254,11.72222222,6.866666667
2008,3.759259259,-3.925925926,2.703703704,-2.208333333,-4.402777778,5.544444444,-1.428571429,5.933333333,8.569444444,8.351851852,12.04761905,7.518518519
2009,3.966666667,-2.716049383,4.055555556,-0.533333333,-0.688888889,7.349206349,1.277777778,8.481481481,10.72916667,8.738095238,14.53472222,9.984126984
2010,7.433333333,1.527777778,7.611111111,2.783950617,1.822222222,8.80952381,2.509259259,7.935185185,10.12222222,9,13.48765432,7.791666667
