Year,WA1,WA2,OR1,OR2,OR3,CA1,CA2,CA3,CA4,CA5,CA6,CA7
1980,-0.740740741,-10.28571429,-2.142857143,-6.904761905,-8.022222222,4.013888889,-4.462962963,3.633333333,6.097222222,6.174603175,9.377777778,2.322222222
1981,3.796296296,-0.12037037,2.479166667,-2.26984127,-4.177777778,5.488888889,-4.037037037,3.3,6.135802469,4.777777778,8.161616162,1.546296296
1982,1.583333333,-6.755555556,0.402777778,-7.246031746,-9.266666667,2.055555556,-8.555555556,-0.255555556,2.354166667,1.69047619,5.783950617,-0.814814815
1983,4.203703704,-1.511111111,2.840277778,-3.291666667,-4.319444444,6.351851852,-4.622222222,1.907407407,4.881944444,3.253968254,7.46969697,0.825396825
1984,3.296296296,-4.311111111,1.333333333,-6.854166667,-7.711111111,5.055555556,-7.488888889,2.12037037,4.986111111,3.841269841,7.227272727,1.166666667
1985,1.194444444,-6.722222222,-1.571428571,-9.423611111,-10.67777778,3.555555556,-8.888888889,0.055555556,2.896825397,2.015873016,5.98989899,-0.46031746
1986,3.537037037,-4.188888889,2.631944444,-3.902777778,-2.622222222,7.407407407,-2.388888889,4.87962963,7.409722222,6.523809524,8.813131313,1.888888889
1987,2.041666667,-5.185185185,0.388888889,-7.673611111,-8.527777778,4.75,-7.935185185,1.018518519,4.098765432,1.46031746,5.207070707,-1.214285714
1988,1.430555556,-5.472222222,0.625,-6.777777778,-5.986111111,5.833333333,-8.148148148,2.904761905,5.395833333,2.841269841,6.121212121,-0.119047619
1989,2.125,-3.518518519,1.534722222,-7.25,-10.48888889,1.8,-11.55555556,0.092592593,2.958333333,0.342592593,4.661616162,-1.214285714
1990,3.486111111,-0.981481481,2.444444444,-3.576388889,-5.133333333,3.944444444,-6.018518519,1.722222222,4.592592593,2.208333333,6.05,-0.787037037
1991,1.583333333,-6.688888889,-0.555555556,-8.125,-8.847222222,2.044444444,-8.509259259,1.231481481,3.293650794,2.4375,6.742424242,-0.626984127
1992,3.888888889,-1.592592593,2.819444444,-3.75,-5.4,3.655555556,-6.101851852,1.694444444,3.796296296,2.125,6.060606061,-0.722222222
1993,-0.027777778,-8.703703704,-1.381944444,-10.76984127,-11.02222222,2.268518519,-9.5,1.984126984,4.283950617,3.743055556,7.823232323,0.19047619
1994,4.597222222,-1.092592593,2.708333333,-3.302469136,-4.981481481,4.138888889,-6.311111111,2.138888889,4.734567901,2.5,6.313131313,-0.19047619
1995,3.652777778,-3.777777778,3.291666667,-3.524691358,-2.144444444,6.740740741,-1.611111111,5.175925926,8.611111111,7.215277778,8.858585859,1.666666667
1996,1.688888889,-6.19047619,2.238095238,-3.857142857,-5.064814815,4.298611111,-3.314814815,3.25,6.679012346,4.979166667,7.840277778,1.574074074
1997,2.833333333,-5.652777778,1.76984127,-5.261904762,-6.222222222,3.634920635,-4.30952381,3.444444444,6.6,5.761904762,8.288888889,1.411111111
1998,3.777777778,-3.928571429,3.913580247,-3.548611111,-2.555555556,5.944444444,-1.935185185,4.533333333,7.672222222,5.395833333,8.061111111,0.841269841
1999,1.685185185,-1.907407407,2.743055556,-2.738095238,-6.433333333,2.541666667,-5,1.977777778,4.404040404,2.547619048,6.911111111,0.366666667
2000,1.62037037,-4.216049383,1.666666667,-4.222222222,-4.555555556,3.642857143,-3.531746032,3.25,6.657407407,5.023809524,8.569444444,0.733333333
2001,2.527777778,-4.203703704,1.827160494,-5.30952381,-7.76984127,1.484126984,-6.357142857,1.069444444,3.580808081,1.972222222,5.277777778,-0.333333333
2002,2.657407407,-2.645833333,2.796296296,-4.703703704,-6.8,2.203703704,-5.841269841,1.619047619,3.875,2.761904762,5.966666667,-0.873015873
2003,4.111111111,-0.666666667,5.172839506,-0.253968254,-1.875,6.555555556,-0.849206349,5.62037037,7.791666667,5.825396825,8.877777778,2.657407407
2004,2.185185185,-4.865079365,2.326388889,-6.744444444,-5.420634921,4.027777778,-4.515873016,2.595238095,5.736111111,4.236111111,6.555555556,-0.601851852
2005,2.518518519,-4.944444444,2.194444444,-3.902777778,-7.166666667,2.793650794,-5.951388889,2.922222222,4.777777778,5.066666667,8.135802469,2.62962963
2006,4.055555556,-0.586419753,3.761904762,-1.214285714,-5.3,3.944444444,-2.5,3.712962963,5.813131313,4.074074074,7.284722222,0.444444444
2007,0.657407407,-6.673611111,-1.074074074,-6.425925926,-9.680555556,-0.26984127,-8.972222222,-1.366666667,2.136363636,-0.214285714,4.896825397,-0.555555556
2008,0.731481481,-7.703703704,-0.740740741,-7.625,-10.02777778,1.844444444,-6.412698413,1.955555556,4.395061728,3.657407407,7.007936508,1.101851852
2009,0.811111111,-6.148148148,0.305555556,-6.066666667,-7.3,1.936507937,-5.324074074,2.009259259,4.561728395,3.246031746,7.569444444,2.293650794
2010,4.566666667,-1.177777778,4.452380952,-0.907407407,-1.922222222,5.674603175,-1.462962963,4.361111111,6.65,5.238095238,7.685185185,1.083333333
