Year,WA1,WA2,OR1,OR2,OR3,CA1,CA2,CA3,CA4,CA5,CA6,CA7
1980,11.84486667,5.74402857,16.6243,6.001657143,8.38835,16.96296667,12.23645,23.48653333,13.731875,8.994422222,18.1356,4.75488
1981,6.0706,2.2606,4.93395,2.28962857,3.16992,21.69583333,5.16255,20.447,14.46106667,6.564488888,7.39648,1.4605
1982,40.5892,4.6355,19.681825,3.824514286,4.63804,20.5867,4.738914286,17.98743333,24.5745,3.976511112,8.108244444,2.472266666
1983,29.65873334,5.655733334,19.0881,3.5179,2.03835,27.84686666,5.119914286,19.313525,18.5547,10.87684444,14.9479,3.5814
1984,26.50913334,3.323166666,7.27075,1.54305,0.5461,4.58216,0.390525,1.37795,0.948266666,0.451555556,0.466436365,0.02177143
1985,1.1938,0.694266666,1.048657143,0.739775,0.77724,1.9685,1.128485714,2.63797143,2.44475,1.4986,2.348345456,0.899885714
1986,28.79513334,5.9817,15.621,4.181475,3.72364,24.5364,6.073775,16.13625714,10.74702222,4.3434,5.301672727,2.452914286
1987,20.7645,3.475566666,18.9357,3.508375,3.683,23.749,5.14985,11.14697143,8.816975,4.28498,4.645890909,1.24822857
1988,13.8303,2.586566666,16.856075,3.553177778,4.62915,26.0604,6.575425,14.79731429,9.9314,4.81584,4.959927273,2.681514286
1989,15.5067,3.0734,13.03655,3.999088888,1.84404,14.71083333,3.84175,5.479142857,3.5814,1.31572,1.131454544,1.08857143
1990,29.8196,6.481233334,24.1554,4.574822222,5.207,27.2542,4.111625,17.70017143,9.228666666,5.96646,5.43814,1.316566666
1991,17.0561,3.170766666,8.239125,1.659466666,1.502833334,10.0965,1.084942857,2.046514286,0.98425,0.99568,3.131127273,1.06317143
1992,25.6794,3.50882857,12.011025,1.196622222,1.23444,11.73056667,0.96882857,6.72737143,5.032375,3.80746,5.48894,1.161142857
1993,14.09065,3.429,11.960225,4.464755556,6.5278,27.53783334,13.77526667,33.27762857,23.923625,10.8966,23.2918,7.5184
1994,13.39215,3.131457143,11.001375,2.492022222,1.3462,21.34108,0.907142857,7.065433334,5.949244444,3.629377778,2.715490909,0.192314286
1995,21.6535,7.939314286,23.110825,5.870222222,10.04824,52.37056666,13.66943333,49.09396666,28.46493334,13.08946667,34.67561818,8.94442857
1996,20.15236,3.818466666,23.26277143,6.266542857,7.76224,38.05766666,12.19562857,21.53496667,16.2179,5.836355556,5.966177778,0.897466666
1997,25.1079,4.289777778,21.06295,5.101166666,8.0264,29.39203334,14.69208571,41.37236666,23.08295556,13.5382,14.58468,2.226733334
1998,30.93085,6.259285714,23.040975,5.036457143,7.827433334,49.89406666,11.312525,34.46356666,23.84495556,10.78484,9.88822,1.3208
1999,18.2372,3.52806,21.6535,3.05162857,6.523566666,19.70314286,7.3533,15.77763333,9.94156,9.0551,5.21208,1.341966666
2000,15.50246667,4.46278,21.548725,5.254625,8.66648,35.7251,11.09254286,24.68456667,16.05510909,8.78586,3.8989,0.512233334
2001,10.98126667,1.786466666,5.514622222,1.9812,1.4224,10.7442,1.443566666,12.76894286,10.40384,7.239,13.07869091,2.598057143
2002,23.1394,3.50774,21.83765,2.957285714,3.12782857,22.1361,3.629025,11.5824,5.747327273,3.279422222,2.059709091,0.02902857
2003,20.86186667,6.85546,19.357975,4.67722857,4.384675,21.42913333,4.74345,8.310033334,4.5339,1.047044444,0.112888888,0.439057143
2004,17.59373333,4.491566666,19.31488571,4.0386,4.18737143,21.88028571,4.029075,11.53522857,7.733145456,2.65176,1.2954,0.348342857
2005,13.07676667,2.949222222,5.776685714,1.089025,2.18802857,16.45073333,4.89857143,16.8529,10.53638182,10.61085,18.04528889,5.4864
2006,34.9885,7.026275,32.79502857,5.12717143,8.733366666,34.7472,8.658225,14.23416,9.580418182,8.42645,4.199466666,3.170766666
2007,14.72353333,1.707444444,9.8044,1.325033334,1.185333334,7.3787,1.444625,1.29032,1.969654544,1.16205,3.222625,0.307975
2008,14.20706667,4.865511112,18.50208571,2.18948,4.43865,30.8356,8.842375,22.8346,22.272625,6.429375,16.671925,4.721225
2009,19.4564,3.191933334,9.7155,1.609725,1.896533334,6.1468,2.064657143,6.13156,2.3241,3.10515,0.835025,0.118533334
2010,23.622,5.266266666,15.17468571,3.883025,5.65404,29.07453334,8.4709,20.19808,18.12036,6.823075,14.22117778,4.727575
