Year,Species,CA14_2,ID33_1,ID33_2,ID33_3,MT53_1,NV55_1,NV55_3,OR69_2,OR69_3,UT85_1,WA89_2,CA14_1,CA14_3,CA14_4,CA14_5,CA14_6,CA14_7,OR69_1,WA89_1,MT53_2,WY92_1,AZ6_1,AZ6_2,AZ6_3,NM60_1,NV55_2,UT85_2,UT85_3
1955,AMWI,6.587550016,NA,NA,NA,4.584967479,5.075173816,5.749392986,NA,NA,7.252053952,9.409846754,11.12137805,12.84901015,10.34509171,11.22801289,8.084870629,11.1012964,NA,11.6534002,NA,NA,4.897839799,6.930494767,6.489204932,NA,NA,6.930494767,6.728628612
1956,AMWI,7.473637109,NA,NA,NA,NA,6.082218912,5.521460919,NA,NA,8.464003362,7.720017941,9.99478971,13.46754897,11.00735269,12.49358345,7.586296307,10.61204045,NA,11.42761809,NA,NA,3.258096538,6.73459166,5.049856006,NA,3.610917912,6.728628612,5.017279836
1957,AMWI,9.380336278,NA,NA,NA,1.791759468,6.473890697,6.259581464,NA,NA,6.246106766,9.085797037,9.661479685,12.69975923,11.04172112,9.286653055,9.133027269,10.86362291,NA,11.43465036,2.197224576,NA,3.295836866,7.403061091,5.236441962,NA,5.075173816,6.311734809,3.931825632
1958,AMWI,9.675394271,NA,NA,NA,3.258096538,6.704414356,5.834810737,NA,NA,8.263848132,9.959820627,9.593628035,13.59141781,9.480062118,11.25546217,8.970940397,11.11052067,NA,11.33904816,NA,NA,NA,7.127693699,5.323009979,NA,4.406719246,7.588829878,NA
1959,AMWI,10.22734484,NA,NA,NA,3.433987205,9.015662794,5.700443573,NA,NA,7.77569575,9.884814288,9.981420344,13.28592846,11.23576122,11.49777122,10.28953196,10.93846758,NA,11.01495025,3.828641397,NA,5.081404365,8.146998697,7.210079629,NA,6.720220156,NA,4.584967479
1960,AMWI,8.661812882,NA,NA,NA,1.791759468,5.375278407,5.225746673,NA,NA,6.923628628,10.00319713,8.73648935,13.35270655,10.48265383,9.736901541,9.421654227,10.6892367,NA,11.91539275,3.044522438,2.63905733,2.890371758,8.012018239,5.888877959,NA,6.047372178,NA,3.044522438
1961,AMWI,9.04239498,NA,NA,NA,6.018593215,6.769641977,5.164785975,NA,NA,6.693323669,9.796904067,9.876321885,13.33660502,10.33996671,12.06411154,9.267382112,10.59678472,NA,11.66634159,1.791759468,4.615120517,4.736198448,7.692113341,5.860786222,NA,5.170483995,3.912023005,3.688879453
1962,AMWI,8.239065333,NA,NA,NA,5.568344503,5.860786222,6.126869184,NA,NA,6.439350371,10.00315188,8.875007486,13.29610154,10.47542709,10.86839701,9.424725682,10.31131653,NA,11.71008637,4.158883083,4.33073334,3.044522438,7.950502435,6.302618976,NA,5.278114658,NA,NA
1963,AMWI,9.780019639,NA,NA,NA,7.403061091,7.305860033,5.802118376,NA,NA,7.821643126,10.66935066,9.350623918,13.39850309,9.82768584,10.51680658,9.232199706,10.64067554,NA,11.3842622,6.23636959,NA,5.631211781,7.234177179,6.284134162,3.433987205,5.993961428,2.833213343,4.356708827
1964,AMWI,10.40414162,NA,NA,NA,4.110873864,8.937875266,6.329720905,NA,NA,9.03503415,10.16761948,8.725182495,13.20670636,10.04329297,10.91880881,8.748463631,10.94829462,NA,11.18668273,4.143134725,NA,6.206575926,6.900730663,6.716594773,NA,6.746412128,3.36729583,NA
1965,AMWI,NA,NA,NA,NA,3.951243719,7.296413268,7.796057975,8.304247464,7.621195163,5.869296913,9.062072356,NA,NA,NA,NA,NA,NA,11.10007314,11.18055281,5.303304907,NA,5.370638028,7.309212365,4.812184354,4.110873864,5.525452938,2.302585093,NA
1966,AMWI,9.326254997,NA,NA,NA,NA,6.857514063,6.068425589,9.797849221,7.779048645,7.467942332,10.70575816,8.331104547,12.67108258,10.61400794,11.37957691,8.790421306,10.95374958,10.67572314,11.06966503,NA,2.48490665,3.433987205,4.532599494,5.993961428,NA,4.836281907,NA,NA
1967,AMWI,9.169414206,NA,NA,NA,6.552507887,2.397895272,4.043051269,NA,NA,4.189654743,10.27605061,8.442038517,12.19764221,9.958307122,11.67726124,8.418035619,10.88782938,NA,10.87519407,3.178053831,NA,5.303304907,6.400257445,5.587248658,5.351858133,5.533389488,4.382026635,NA
1968,AMWI,7.969357743,7.16317239,7.166265973,7.259116128,5.017279836,5.910796644,6.311734809,8.123854263,8.215006434,5.081404365,9.983960936,8.835210464,12.91119286,10.94854082,11.07025681,8.664923304,10.483606,10.90454214,11.50945946,3.332204509,2.079441542,4.709530202,7.088408779,NA,7.277938573,3.951243719,2.397895272,NA
1969,AMWI,7.693937326,6.825460036,8.100464891,7.766840537,5.620400866,6.175867269,4.795790545,7.301822342,7.142827402,5.459585514,9.124346659,9.512221164,12.88140203,9.395158808,11.24649595,8.333510709,10.54536775,10.02064817,10.89956865,5.533389488,NA,NA,6.481577129,2.890371758,6.463029458,4.189654743,6.150602769,7.004881991
1970,AMWI,7.40184158,6.311734809,8.248267448,8.379079888,3.891820298,6.079933195,5.537334268,9.262458326,7.101675972,5.398162702,9.613736674,9.14452103,13.57583612,8.981052985,10.25294652,NA,10.3523633,10.41924101,11.26169103,5.303304907,NA,1.791759468,6.841615477,4.276666118,6.309918277,3.526360525,5.332718792,7.848153085
1971,AMWI,6.936342736,7.741099091,8.664232934,2.48490665,1.38629436,5.627621114,5.476463552,8.292047638,7.598900457,0.693147181,9.403931522,6.666956792,13.10549389,9.75880854,12.11157513,5.017279836,9.850403181,10.80875778,11.4230117,2.708050201,NA,2.397895272,6.886531643,5.655991811,7.347943824,3.555348061,3.637586161,2.302585093
1972,AMWI,4.262679878,7.438971593,8.05356917,NA,2.564949357,5.214935758,5.379897354,9.04239498,6.329720905,6.400257445,9.229162126,9.967213244,12.76583414,9.854507371,11.05217489,NA,9.695602004,10.83527755,11.86062021,5.823045895,NA,5.602118821,6.673297967,5.225746673,5.560681631,3.583518939,3.496507562,NA
1973,AMWI,NA,NA,7.634337235,5.828945618,3.931825632,5.33753808,4.875197324,8.327967858,5.379897354,5.030437922,9.343996756,9.407796816,13.08762906,8.764678074,11.40362386,NA,9.608512283,11.02368193,11.10328666,3.850147602,NA,NA,6.274762021,4.948759891,5.424950017,3.433987205,5.062595033,4.043051269
1974,AMWI,5.398162702,3.258096538,7.429520842,7.540621529,3.433987205,4.875197324,4.110873864,8.019941687,4.919980925,3.951243719,7.751905332,10.1303442,13.38798541,9.546526854,10.47534242,NA,9.430359046,10.41439317,10.63708066,4.615120517,NA,NA,5.303304907,NA,6.624065227,2.772588723,5.442417711,4.304065094
1975,AMWI,7.972810785,NA,6.777646594,7.810352683,4.477336814,4.795790545,6.054439346,9.298351248,6.11368218,5.968707559,9.290998275,8.635153989,13.01004762,10.0233573,9.646399346,NA,10.37264708,11.0909193,11.0896222,NA,2.397895272,NA,3.713572067,NA,6.12249281,3.044522438,1.098612289,3.496507562
1976,AMWI,9.862717641,4.33073334,5.826000107,7.846589975,4.615120517,6.938284483,6.154858094,9.09492952,7.563200593,6.073044535,9.416459832,9.900783902,12.68517847,9.38353709,8.657998067,NA,10.1156106,10.63938287,11.50980059,2.772588723,0.693147181,NA,NA,NA,6.959398512,4.753590191,3.135494216,1.38629436
1977,AMWI,9.305741457,NA,5.575949103,8.153925133,6.463029458,5.843544417,6.364750756,7.786136437,7.176254532,4.418840607,8.758098073,10.10340342,12.68507008,10.4907463,10.72878079,NA,9.964629686,11.01430835,11.80411637,NA,2.833213343,NA,4.510859506,NA,5.932245187,4.262679878,3.828641397,3.87120101
1978,AMWI,10.23282727,3.258096538,6.210600078,10.00726181,4.219507706,6.249975243,6.608000625,7.779885114,7.71154898,5.703782475,8.526351129,9.258273026,13.46628069,8.276649126,9.473550433,NA,10.18115717,10.93827218,11.23875174,3.637586161,1.098612289,NA,4.510859506,NA,6.342121419,3.433987205,4.859812404,3.135494216
1979,AMWI,9.510519035,NA,8.143517407,7.393263094,NA,5.303304907,5.252273427,7.004881991,7.34342623,2.708050201,6.285998095,9.826660503,13.19043502,10.78396456,10.10503968,NA,9.161255164,10.4664691,10.99571282,1.791759468,NA,5.081404365,5.351858133,NA,4.969813299,3.713572067,NA,3.87120101
1980,AMWI,11.0251814,NA,8.640825752,9.031333315,4.836281907,7.230563154,6.710523109,7.525639975,9.412627941,6.001414878,8.865452826,9.210440366,13.30097974,8.847359875,9.65316549,NA,10.33009426,11.070537,11.41000641,NA,NA,NA,5.170483995,NA,6.182084908,4.510859506,7.234177179,4.644390898
1981,AMWI,11.04899933,2.397895272,8.47907587,8.774312958,5.049856006,6.091309881,6.73459166,8.900957873,8.208764045,8.307705968,10.2809989,9.519000851,13.15560664,9.91891789,6.857514063,8.512381635,8.267705664,10.30259919,11.2011556,3.713572067,NA,NA,6.100318953,NA,5.929589144,5.252273427,7.905441649,6.685860947
1982,AMWI,11.15196994,8.366602834,8.986446539,7.578145473,5.398162702,5.65248918,6.196444128,8.387767643,5.616771098,4.219507706,8.920121752,8.927446817,13.03637184,8.078998259,9.257796312,8.286773231,10.05753823,10.51842992,10.85599449,NA,NA,NA,4.219507706,NA,3.433987205,4.912654885,6.883462587,6.11146734
1983,AMWI,9.568084745,7.481555701,6.629363255,3.433987205,4.521788576,5.793013609,6.175867269,7.875119281,5.003946305,2.564949357,9.950466555,8.71948076,12.23430047,9.896765006,8.707978827,8.014996895,9.624500898,9.971613381,10.80427878,NA,1.791759468,NA,4.753590191,NA,5.017279836,4.510859506,5.488937726,5.075173816
1984,AMWI,9.776278986,5.525452938,4.025351691,NA,NA,6.710523109,6.216606101,6.01615716,7.19893124,4.110873864,10.30226367,8.525359753,13.13762827,10.69966504,9.711176263,8.254788926,9.769727562,9.801122546,10.89890365,NA,2.564949357,NA,2.708050201,NA,3.713572067,5.860786222,7.516977224,3.713572067
1985,AMWI,10.89675784,6.311734809,5.075173816,4.564348191,5.908082939,5.860786222,5.942799376,9.355133117,6.839476438,2.833213343,10.72818917,8.782783017,12.11765665,10.56851814,8.746080218,8.454466361,9.210940193,9.648401736,10.73190836,NA,3.931825632,NA,NA,NA,4.477336814,2.397895272,4.442651257,2.079441542
1986,AMWI,9.005895898,5.707110266,6.274762021,1.38629436,4.615120517,5.303304907,5.525452938,7.4465851,8.441391477,3.583518939,9.732995749,8.360539381,12.10967738,10.24498287,9.083529205,8.514389264,9.532278934,10.21493498,11.22513672,NA,1.791759468,NA,5.707110266,NA,2.944438979,5.141663556,1.38629436,3.135494216
1987,AMWI,10.91401516,7.523481313,6.047372178,4.248495242,3.091042454,7.131698511,6.415096959,9.82703838,7.23849684,NA,10.18911752,8.541495484,11.83744079,9.990582259,8.854093907,8.602636673,9.650271317,10.49255118,10.42552014,1.609437912,3.931825632,NA,4.510859506,NA,NA,5.968707559,5.746203192,6.455198564
1988,AMWI,10.3056472,7.824445931,5.880532987,NA,5.993961428,5.236441962,5.017279836,7.164720379,6.862757912,4.454347296,10.49656575,8.993054629,13.18960325,8.911260254,8.608130185,8.432941639,9.276783328,10.44975754,11.67280541,2.397895272,NA,NA,3.610917912,NA,6.188264123,5.351858133,5.739792912,5.537334268
1989,AMWI,10.55713998,7.741099091,6.637258031,4.890349128,2.708050201,5.771441122,5.564520407,8.798907493,7.764720545,NA,10.26447817,8.699348068,12.43618387,9.59315079,8.482808763,8.786609455,9.854087202,10.10960701,11.11811836,NA,3.044522438,NA,5.620400866,NA,NA,4.394449155,5.602118821,4.521788576
1990,AMWI,10.48012901,7.003974137,8.655737,NA,6.204557763,6.621405652,6.447305862,8.168202931,8.811205188,2.079441542,10.36662391,8.795430806,12.31358534,10.02415531,8.858226439,9.200391042,9.0044226,10.97117661,11.34695352,NA,NA,NA,4.574710978,NA,4.219507706,4.33073334,6.7214257,4.290459441
1991,AMWI,8.987321812,6.11146734,8.686935967,6.704414356,3.091042454,5.036952603,4.948759891,7.747596839,7.986164859,3.87120101,10.20425859,9.121727713,12.4347051,10.41403314,8.623713036,8.237743803,8.883778862,10.93709899,11.91083544,NA,NA,NA,3.850147602,NA,3.828641397,4.189654743,5.451038454,4.521788576
1992,AMWI,9.377379073,6.459904454,9.520908548,5.564520407,6.50128967,5.968707559,6.463029458,8.954156967,9.451716692,3.713572067,9.950466555,9.695909724,12.44268114,9.642966587,8.295548516,8.407601515,9.221972456,10.37558274,11.29939803,NA,2.397895272,NA,3.87120101,NA,6.380122538,NA,5.880532987,3.737669617
1993,AMWI,8.550821373,4.356708827,8.904901578,NA,2.564949357,4.189654743,6.35610766,7.779466967,7.434847875,NA,10.35904356,NA,12.25086913,9.220884586,10.63648025,6.216606101,8.163656175,10.01864492,10.94492966,NA,NA,NA,4.753590191,NA,3.218875826,4.394449155,5.129898716,4.477336814
1994,AMWI,10.20362918,8.096512918,8.859789494,5.707110266,7.972810785,5.723585101,6.66057515,9.323043862,7.069023427,5.398162702,10.32107884,9.442958893,12.73293794,9.453129676,9.349754427,7.50714108,7.398786275,10.85520334,11.08884313,NA,NA,NA,5.505331536,NA,5.153291594,5.111987788,6.459904454,2.48490665
1995,AMWI,10.41033528,7.360103974,9.126197604,NA,7.065613363,7.504391559,5.463831805,7.788211557,7.365812837,4.795790545,9.953372355,NA,12.66633839,8.851520271,9.794843875,7.798933309,7.870547844,10.69484978,11.46261064,NA,NA,NA,5.983936281,NA,3.713572067,5.198497032,7.275172319,4.564348191
1996,AMWI,10.85709334,5.733341276,8.384118838,8.556606194,5.117993812,6.908754778,6.857514063,7.395721608,7.926241524,6.095824562,9.533075833,9.497622364,12.83687889,9.386224587,10.24895492,7.76599308,7.563719669,10.88170089,11.00149966,NA,NA,NA,6.025865974,NA,5.693732138,4.709530202,6.224558429,6.790097236
1997,AMWI,9.557540572,7.201170884,7.657282792,2.197224576,NA,7.16317239,6.274762021,8.742414583,7.899524472,3.218875826,9.528139344,9.414749525,12.52758352,9.908276069,10.47610418,8.245121967,8.541495484,10.77188971,10.91033171,NA,NA,NA,6.22059017,NA,4.418840607,5.081404365,7.786136437,6.760414692
1998,AMWI,10.1266711,6.89264164,6.977281341,4.33073334,3.044522438,7.126890808,5.252273427,8.508354243,6.803505258,4.553876891,10.13348754,9.381263884,13.01523018,10.17011196,9.033245133,8.040768995,7.912423121,10.97388896,11.43351422,NA,NA,NA,7.438971593,NA,4.521788576,4.615120517,6.926577033,6.082218912
1999,AMWI,9.510519035,7.732369222,7.249215056,NA,5.308267696,6.206575926,4.948759891,6.461468176,8.563885918,6.89467004,10.9619547,NA,12.86773174,10.3929261,9.135293499,6.255750041,8.086717919,10.96626539,11.64756125,NA,NA,NA,8.210939732,NA,3.737669617,2.397895272,8.185907482,5.267858159
2000,AMWI,9.449436009,8.026170194,6.426488457,6.192362489,6.967909202,6.077642243,4.709530202,8.230044311,7.883823216,7.084226423,9.804771579,10.07588503,13.23417127,10.53070858,10.11803426,8.927712174,7.917171989,10.46609885,11.45960907,1.098612289,NA,4.025351691,7.979681302,7.891704659,5.978885766,4.110873864,8.572627899,5.283203728
2001,AMWI,9.809231817,6.7129562,5.062595033,5.351858133,4.795790545,6.311734809,4.110873864,7.563200593,6.431331082,5.758901773,10.47166657,10.02685497,13.06696483,10.53730927,10.46170236,7.003065458,7.132497552,10.67382723,11.4944152,NA,NA,7.816416983,7.6778635,5.886104032,5.429345629,4.025351691,8.688790784,5.690359454
2002,AMWI,10.29048315,6.415096959,6.156978986,5.80513497,6.423246963,7.030857476,7.473637109,8.320204597,7.60589,2.772588723,10.49010687,9.415971472,12.60806172,9.610323817,10.54694542,8.103494278,7.40184158,10.32167143,11.38900488,NA,NA,5.80513497,7.748891338,6.725033641,5.351858133,4.110873864,8.090402297,6.188264123
2003,AMWI,10.16589028,8.167635714,8.123261319,1.791759468,6.9902565,6.552507887,6.381816018,6.606650187,3.988984047,6.884486653,10.30152515,9.760482858,12.60162209,10.56149966,11.10512263,7.560601163,8.149890545,10.29007561,11.3393099,NA,2.397895272,7.43307535,7.095893221,7.252762419,6.62671775,4.875197324,8.498621806,6.285998095
2004,AMWI,9.846970109,NA,NA,NA,NA,6.530877628,6.888572459,7.66152708,7.831220215,5.968707559,10.35936056,8.845345196,12.76055815,10.17171919,10.82279373,6.882437472,5.616771098,7.264730178,11.69884056,NA,NA,7.131698511,6.786716951,7.496652439,5.916202063,4.454347296,9.054621797,6.084499413
2005,AMWI,11.47834437,7.555905094,8.899048434,6.06610809,NA,6.74051936,7.123672784,7.474772182,4.836281907,7.469654173,10.2852404,8.577535419,12.89550293,10.24341809,11.29986837,7.437795122,8.110126803,10.39080911,12.02276861,3.433987205,NA,6.206575926,7.283448229,8.627660645,5.973809611,3.931825632,8.328692585,6.405228459
2006,AMWI,11.49985036,6.634633358,8.35960327,NA,NA,7.962067309,6.23636959,8.391403186,7.237059026,7.299121463,10.64661467,8.794521851,13.0393643,9.940108737,11.27348738,7.62266395,8.597297437,10.86965357,11.76324051,NA,NA,2.397895272,4.875197324,7.61677581,6.908754778,5.505331536,8.688622306,6.551080335
2007,AMWI,10.4659849,4.852030265,8.097730573,1.38629436,NA,6.970730079,7.030857476,8.094683648,8.059276223,6.65415252,9.70729017,8.497398564,12.96273204,10.54549932,9.742320649,7.35308192,7.847371836,10.61717238,11.21585277,NA,NA,5.755742214,4.304065094,7.315218391,7.294377299,5.398162702,7.345364841,6.570882963
2008,AMWI,10.88371037,7.228388453,7.924072325,NA,4.615120517,6.165417855,5.739792912,8.554874259,6.535241271,3.931825632,9.881344189,NA,12.6782302,10.69398828,10.54038179,8.352554368,8.880724577,10.62125417,11.15702165,NA,0.693147181,NA,4.736198448,6.025865974,6.996681488,3.583518939,6.336825732,6.030685261
2009,AMWI,8.699681402,5.062595033,7.614805365,NA,NA,5.945420609,7.313886831,8.163940954,5.509388336,4.897839799,10.01337282,8.267705664,12.52957543,10.8856971,10.8179967,8.474285689,9.045229851,10.87352756,12.12765154,1.609437912,NA,NA,6.532334292,6.159095389,NA,4.110873864,7.562161632,5.831882477
2010,AMWI,9.622516247,8.150756469,7.983440063,3.496507562,NA,5.92157842,6.628041377,7.31055016,8.617400453,5.176149732,10.60109975,9.282381925,12.51295422,9.174609561,11.25658701,7.253470383,8.480114184,10.65417224,11.36072954,NA,0.693147181,NA,6.548219104,7.434257382,6.601230118,4.948759891,5.043425117,6.369900983
2011,AMWI,9.798182591,NA,NA,NA,NA,7.047517221,5.755742214,7.999007212,5.204006687,4.406719246,9.277251077,NA,12.29706899,9.484861214,10.53942926,8.38228943,8.719970757,9.397649471,11.48714601,NA,NA,NA,6.23636959,5.560681631,6.148468296,4.262679878,7.097548851,6.118097198
2012,AMWI,10.17355286,NA,NA,NA,1.945910149,6.001414878,5.739792912,7.746300663,9.138629525,5.690359454,9.424644974,NA,12.95783066,10.5074756,8.978156075,7.905441649,6.30809844,9.450144365,11.39283477,NA,NA,NA,6.161207322,6.883462587,7.11395611,4.709530202,6.704414356,5.826000107
2013,AMWI,NA,NA,NA,NA,NA,6.091309881,7.586296307,7.149131599,4.248495242,3.178053831,9.379323364,6.216606101,12.44695002,11.10057168,9.673759873,NA,5.398162702,9.455245416,11.41227606,NA,NA,NA,5.433722003,NA,7.290292882,5.375278407,3.044522438,6.049733456
2014,AMWI,9.153875835,6.06378521,NA,NA,NA,6.056784013,5.049856006,8.9956609,4.007333184,3.044522438,9.472396898,NA,12.90890032,10.51978069,8.98682175,NA,7.486052617,10.00229162,11.51129413,NA,NA,NA,4.624972814,NA,5.141663556,2.397895272,3.091042454,6.003887067
