Year,WA1,WA2,OR1,OR2,OR3,CA1,CA2,CA3,CA4,CA5,CA6,CA7
1980,17.44218,58.20918,12.03452,19.12366,11.6205,0,8.17118,0,0,0,0,0.4064
1981,0,2.49682,1.143,5.18922,22.5044,0,23.80234,1.08966,0,0,0,2.54
1982,18.542,37.338,10.81278,24.71166,18.9865,0,41.80078,10.55878,0,0.42418,0,9.87044
1983,0,14.1732,0.0635,7.69366,9.398,0,4.1148,0,0,0,0,3.429
1984,0,6.0452,0.3175,5.74802,5.08,0,5.04444,0,0,0,0,0
1985,0,4.953,0.33782,7.90702,9.9568,0,12.88034,0,0,0,0,0
1986,0,37.846,0,9.76122,19.304,0,2.667,0,0,0,0,0
1987,0,28.2956,2.14122,7.0485,9.652,0,13.81252,0,0,0,0,0.32766
1988,0,20.7772,5.3975,19.8755,30.14218,0,39.15918,0.72644,0,0,0,3.22834
1989,2.159,23.622,2.00152,23.1775,15.4432,0.42418,28.84678,2.32156,0,0.508,0,0
1990,0,18.669,0,11.40206,14.224,0,15.38478,1.016,0,0,0,0.254
1991,0,18.4404,0.60452,1.93802,3.6068,0,5.08,0,0,0,0,0
1992,0,9.10082,0.254,2.45618,3.2512,0,1.63322,0.58166,0,0,0,0.254
1993,2.0955,38.77818,17.30502,52.39766,58.039,0,59.8932,0.39878,0,0,0,7.51078
1994,0,2.97434,0,3.32994,7.19582,0,0.54356,0,0,0,0,0.14478
1995,0,12.91844,0.66802,6.01218,1.143,0,5.461,0.04318,0,0,0,8.89
1996,9.8552,63.246,0.43434,24.78278,31.15818,2.413,35.2044,2.75082,0,0,0,0
1997,0,14.5415,1.6256,9.652,12.40282,0,17.526,0,0,0,0,2.20218
1998,3.4925,46.59122,3.556,26.13152,29.0068,0,5.461,0.84582,0,0,0,0
1999,0,19.66722,0,7.14756,37.973,0.07366,6.06552,1.524,0,2.159,0,6.096
2000,0.33782,49.49952,3.4036,9.11352,45.339,0,9.43356,0,0,0,0,0
2001,0,17.653,1.5748,9.017,6.8072,0,3.51282,8.1788,0,0,0,0
2002,0.381,17.60982,1.6764,6.731,21.16582,0.33782,6.604,2.54,0,0,0,0
2003,0,13.74394,0.1905,0,0,0,0,0,0,0,0,0
2004,0,39.4335,13.54582,19.558,20.701,0.635,8.66902,0.5588,0,0,0,0
2005,0,28.702,1.7145,2.07518,13.5255,0.635,27.32278,3.4544,0,0,0,15.2908
2006,0,15.42034,0,3.9624,44.0055,0.21082,12.73302,0.254,0,0,0,9.3472
2007,0,11.176,2.54,1.524,6.7564,0,1.27,0,0,0,0,0.46482
2008,0,43.65752,11.00582,31.15818,0,5.03682,58.05678,12.7,0,0,0,0
2009,4.99618,20.7645,5.588,6.223,4.14782,0,2.00152,0,0,0,0,0
2010,0,6.57606,0,5.588,15.1765,0,15.367,3.6576,0,0,0,1.45034
